,current_stock,new_stock,demand,reward,capacity,storage_cost,selling_price,manufacturing_price,t,total_production_cost,total_revenue_generated
153,100.0,100.0,523.0878166815877,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
154,100.0,100.0,539.3207863566654,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
155,100.0,100.0,554.944168339272,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
156,100.0,100.0,571.1548456532803,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
157,100.0,100.0,469.29175814779353,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
158,100.0,100.0,501.62171892792423,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
159,100.0,100.0,500.8463546698536,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
160,100.0,100.0,515.7149407380123,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
161,100.0,100.0,531.628634769758,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
162,100.0,100.0,547.0368208493767,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
163,100.0,100.0,563.1415054029463,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
164,100.0,100.0,461.2833693655099,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
165,100.0,100.0,493.72754244686524,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
166,100.0,100.0,493.17059959746604,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
167,100.0,100.0,508.3535499312525,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
168,100.0,100.0,524.6663183636978,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
169,100.0,100.0,540.5444260137391,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
170,100.0,100.0,557.1738018789854,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
171,100.0,100.0,455.8773193916057,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
172,100.0,100.0,488.901110665204,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
173,100.0,100.0,488.92214380532903,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
174,100.0,100.0,504.6618174646758,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
175,100.0,100.0,521.4910559269895,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
176,100.0,100.0,537.8275933323072,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
177,100.0,100.0,554.8413621602363,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
178,100.0,100.0,453.84156268845817,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
179,100.0,100.0,487.06345033263557,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
180,100.0,100.0,487.1763117881703,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
181,100.0,100.0,502.89737154953514,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
182,100.0,100.0,519.5971017305764,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
183,100.0,100.0,535.6966159860146,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
184,100.0,100.0,552.3730576400893,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
185,100.0,100.0,450.9465567056982,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
186,100.0,100.0,483.6667937521304,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
187,100.0,100.0,483.22064566945426,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
188,100.0,100.0,498.3456620670414,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
189,100.0,100.0,514.4348552448455,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
190,100.0,100.0,529.9334971977264,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
191,100.0,100.0,546.0438487262237,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
192,100.0,100.0,444.11141227232116,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
193,100.0,100.0,476.41076486472775,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
194,100.0,100.0,475.65246570487534,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
195,100.0,100.0,490.5958071199928,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
196,100.0,100.0,506.6529118131457,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
197,100.0,100.0,522.2848892990056,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
198,100.0,100.0,538.7059949635395,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
199,100.0,100.0,437.26940012502797,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
200,100.0,100.0,470.25264420556795,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
201,100.0,100.0,470.36427577600864,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
202,100.0,100.0,486.3564606112195,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
203,100.0,100.0,503.62906596901234,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
204,100.0,100.0,520.6259369526429,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
205,100.0,100.0,538.5393079133069,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
206,100.0,100.0,438.6959533297085,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
207,100.0,100.0,473.3431419215596,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
208,100.0,100.0,475.155890158048,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
209,100.0,100.0,492.85027969271505,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
210,100.0,100.0,511.788331647704,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
211,100.0,100.0,530.3751350246976,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
212,100.0,100.0,549.7641517995476,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
213,100.0,100.0,451.24428142226907,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
214,100.0,100.0,487.0267259970492,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
215,100.0,100.0,489.7531296421861,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
216,100.0,100.0,508.1097342896883,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
217,100.0,100.0,527.4330235461135,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
218,100.0,100.0,546.1075321262801,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
219,100.0,100.0,565.2717256846574,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
220,100.0,100.0,466.20551855255826,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
221,100.0,100.0,501.11745835779845,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
222,100.0,100.0,502.6530419694624,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
223,100.0,100.0,519.5088994697843,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
224,100.0,100.0,537.0383158634856,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
225,100.0,100.0,553.648769843356,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
226,100.0,100.0,570.5073999190264,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
227,100.0,100.0,468.9279744640804,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
